date,date_gap,disp,flags,latitude,longitude,mask,size,vel_angle,iceberg_name,timestamp
2016001,0,0.0,6,-66.15,57.717,1,279.9,0.0,d24,1970-01-01T00:00:00Z
2016036,0,0.0,6,-69.332,37.95,0,0.0,0.0,d25,1970-01-01T00:00:00Z
2016095,0,0.0,6,-69.35,29.517,1,0.0,0.0,d26,1970-01-01T00:00:00Z
2018059,0,0.0,6,-67.216,81.682,1,0.0,0.0,d27,1970-01-01T00:00:00Z
2019266,0,0.0,6,-68.58,72.266,0,40313.82,0.0,d28,1970-01-01T00:00:00Z
2021162,0,0.0,6,-69.77,21.67,0,1224.54,0.0,d29a,1970-01-01T00:00:00Z
2021162,0,0.0,6,-69.96,22.16,0,971.92,0.0,d29b,1970-01-01T00:00:00Z
2021162,0,0.0,6,-69.77,22.15,0,1117.63,0.0,d29c,1970-01-01T00:00:00Z
2021162,0,0.0,6,-69.46,18.59,0,660.65,0.0,d30a,1970-01-01T00:00:00Z
2021162,0,0.0,6,-69.79,19.7,0,1725.24,0.0,d30b,1970-01-01T00:00:00Z
2022028,0,0.0,6,-69.89,2.34,0,0.0,0.0,d31,1970-01-01T00:00:00Z
2022288,0,0.0,6,-68.446,70.764,0,0.0,0.0,d32,1970-01-01T00:00:00Z
2011242,0,0.0,4,-65.175,103.116,0,0.0,0.0,uk052,1970-01-01T00:00:00Z
2011242,0,0.0,4,-66.599,80.862,1,557.19,0.0,uk093,1970-01-01T00:00:00Z
2017061,0,0.0,4,-67.66,-45.999,0,0.0,0.0,uk125,1970-01-01T00:00:00Z
2018130,0,0.0,4,-69.711,11.348,1,4304.79,0.0,uk130,1970-01-01T00:00:00Z
2006051,0,0.0,17,-65.629,115.583,1,-79.24,0.0,uk174,1970-01-01T00:00:00Z
2008042,0,0.0,17,-64.993,131.788,1,1822.51,-0.0114,uk192,1970-01-01T00:00:00Z
2008019,0,0.0,17,-63.632,-51.91,2,916.35,0.0,uk235,1970-01-01T00:00:00Z
2011241,0,0.0,12,-68.865,-58.848,1,503.02,0.0,uk290,1970-01-01T00:00:00Z
2011242,0,0.0,12,-64.929,81.528,1,483.17,0.0,uk304,1970-01-01T00:00:00Z
2011241,0,0.0,12,-65.466,126.926,1,0.0,0.0,uk314,1970-01-01T00:00:00Z
2011242,0,0.0,12,-64.382,98.2,1,0.0,0.0,uk315,1970-01-01T00:00:00Z
2012019,0,0.0,12,-66.16,143.225,2,1600.25,-0.0669,uk316,1970-01-01T00:00:00Z
2011242,0,0.0,12,-66.777,-38.415,2,513.74,0.0,uk318,1970-01-01T00:00:00Z
2011242,0,0.0,12,-66.545,-35.844,2,563.81,0.0554,uk319,1970-01-01T00:00:00Z
2011242,0,0.0,12,-71.115,-13.863,1,282.83,0.0,uk320,1970-01-01T00:00:00Z
2012075,0,0.0,12,-69.401,28.283,1,249.27,0.0,uk321,1970-01-01T00:00:00Z
2014096,0,0.0,4,-61.532,-51.637,1,0.0,0.0,uk321b,1970-01-01T00:00:00Z
2012124,0,0.0,12,-69.498,13.514,1,945.97,0.0014,uk322,1970-01-01T00:00:00Z
2014342,0,0.0,4,-66.367,139.074,1,4938.58,0.0,uk323,1970-01-01T00:00:00Z
2013298,0,0.0,4,-75.063,-146.57,1,0.0,0.0,uk324,1970-01-01T00:00:00Z
2015266,0,0.0,4,-69.6,13.7,1,0.0,0.0,uk325,1970-01-01T00:00:00Z
2015235,0,0.0,4,-69.75,15.5,1,0.0,0.0,uk326,1970-01-01T00:00:00Z
2015365,0,0.0,4,-69.833,-60.367,0,0.0,0.0,uka57b,1970-01-01T00:00:00Z
2016098,0,0.0,4,-75.156,163.64,0,0.0,0.0,ukc33,1970-01-01T00:00:00Z
